,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo,valence,key,duration_ms,Classification,song_name
0,0.993,0.435,0.00661,0.939,-32.108,0.0433,95.626,0.203,11.0,100441.0,Peaceful Piano,Tjärnheden
1,0.996,0.484,0.059,0.948,-25.084,0.0517,89.329,0.308,1.0,118250.0,Peaceful Piano,Quand vous souriez
2,0.992,0.364,0.0168,0.912,-30.767,0.0423,138.477,0.309,5.0,99853.0,Peaceful Piano,Allena
3,0.993,0.307,0.0381,0.945,-28.197,0.0423,72.453,0.0631,11.0,123500.0,Peaceful Piano,Saying Things
4,0.994,0.366,0.108,0.937,-20.698,0.0387,174.925,0.435,7.0,117016.0,Peaceful Piano,Oaks Bluffs
5,0.994,0.323,0.00851,0.927,-35.211,0.0434,135.492,0.341,7.0,112885.0,Peaceful Piano,pæoner
6,0.994,0.429,0.0542,0.928,-28.538,0.0404,72.862,0.142,0.0,103980.0,Peaceful Piano,Open to return
7,0.98,0.31,0.0352,0.908,-28.139,0.0336,157.343,0.148,6.0,133488.0,Peaceful Piano,Entangled - Ole-Bjørn Talstad Rework
8,0.992,0.384,0.0189,0.947,-31.119,0.0395,62.479,0.0834,1.0,130166.0,Peaceful Piano,Glance Out A Casement Window
9,0.994,0.297,0.0126,0.913,-27.76,0.0442,171.767,0.386,7.0,163000.0,Peaceful Piano,Lyrides
10,0.995,0.496,0.0317,0.954,-25.204,0.0479,73.191,0.256,3.0,125056.0,Peaceful Piano,Má sestra
11,0.994,0.442,0.0719,0.874,-28.528,0.0346,83.794,0.326,7.0,155175.0,Peaceful Piano,Amor Eterno
12,0.994,0.642,0.0202,0.928,-30.725,0.0424,101.97,0.174,3.0,151765.0,Peaceful Piano,Solace
13,0.986,0.405,0.0187,0.924,-29.086,0.0372,75.78,0.229,10.0,120269.0,Peaceful Piano,Nouvelles Tentatives
14,0.996,0.412,0.0289,0.958,-32.394,0.0517,151.381,0.27,10.0,99568.0,Peaceful Piano,Emerald Enlightenment
15,0.99,0.344,0.0893,0.927,-26.873,0.0354,94.414,0.178,9.0,139412.0,Peaceful Piano,Waitings
16,0.977,0.408,0.0632,0.927,-24.044,0.0371,126.995,0.256,0.0,202732.0,Peaceful Piano,From Home
17,0.991,0.265,0.0119,0.946,-33.766,0.0526,99.932,0.35,3.0,127000.0,Peaceful Piano,Nordanvind
18,0.991,0.428,0.0253,0.912,-29.558,0.0388,70.853,0.175,1.0,105787.0,Peaceful Piano,Lydian Fairytale
19,0.994,0.441,0.018,0.952,-27.154,0.0456,107.794,0.204,10.0,146091.0,Peaceful Piano,Un sourire et une larme (valse)
20,0.976,0.243,0.0101,0.908,-29.778,0.0401,172.937,0.127,1.0,137642.0,Peaceful Piano,Release from silence
21,0.992,0.316,0.0319,0.92,-29.428,0.0511,175.256,0.223,6.0,113986.0,Peaceful Piano,Reflections
22,0.989,0.321,0.0269,0.891,-27.988,0.0312,90.174,0.193,4.0,156706.0,Peaceful Piano,Liminal ride
23,0.984,0.361,0.0649,0.933,-23.25,0.0281,77.486,0.354,1.0,140125.0,Peaceful Piano,Fiume
24,0.995,0.538,0.0101,0.942,-29.191,0.0363,68.322,0.481,6.0,199429.0,Peaceful Piano,Air from Air
25,0.984,0.402,0.0619,0.933,-23.399,0.0361,65.875,0.14,8.0,115124.0,Peaceful Piano,Morning Dance
26,0.984,0.325,0.0615,0.923,-27.534,0.0352,94.597,0.312,4.0,125042.0,Peaceful Piano,Lisser
27,0.994,0.225,0.00332,0.945,-38.899,0.0546,67.988,0.394,5.0,199167.0,Peaceful Piano,The Tree
28,0.994,0.439,0.0237,0.938,-30.434,0.0397,113.805,0.16,6.0,150898.0,Peaceful Piano,Pines and Cedars
29,0.996,0.641,0.0114,0.964,-27.475,0.0458,80.989,0.483,6.0,125249.0,Peaceful Piano,Poesia
30,0.987,0.366,0.0905,0.833,-27.851,0.0408,124.479,0.234,10.0,170738.0,Peaceful Piano,The Meadows 草地
31,0.992,0.323,0.0015,0.951,-36.751,0.0447,61.605,0.298,1.0,204375.0,Peaceful Piano,to god knows where - silence
32,0.984,0.435,0.0404,0.96,-26.262,0.0358,95.929,0.193,4.0,168499.0,Peaceful Piano,This Tender Appeal
33,0.995,0.495,0.084,0.968,-24.684,0.0735,69.216,0.453,1.0,130890.0,Peaceful Piano,Tôt le matin
34,0.99,0.47,0.0593,0.934,-28.563,0.0355,113.418,0.178,7.0,131787.0,Peaceful Piano,Shizukana
35,0.993,0.505,0.0142,0.904,-29.905,0.041,81.264,0.171,0.0,109000.0,Peaceful Piano,Chichiro
36,0.992,0.435,0.0405,0.905,-25.515,0.0313,78.151,0.129,2.0,147507.0,Peaceful Piano,A Place To Hide
37,0.995,0.414,0.0257,0.896,-28.816,0.0375,103.102,0.21,9.0,153306.0,Peaceful Piano,Sun sinking at dusk
38,0.991,0.481,0.0246,0.955,-24.192,0.0393,100.305,0.127,0.0,131951.0,Peaceful Piano,At The End Of The Day
39,0.992,0.723,0.253,0.953,-25.567,0.0562,86.956,0.19,3.0,116207.0,Peaceful Piano,Me Time
40,0.987,0.345,0.0305,0.935,-24.169,0.0326,162.612,0.137,6.0,141451.0,Peaceful Piano,Quiet Eyes
41,0.995,0.557,0.0177,0.965,-26.803,0.0564,135.228,0.397,7.0,127500.0,Peaceful Piano,Gently falling rain
42,0.996,0.463,0.0669,0.909,-29.032,0.0641,71.55,0.23,0.0,178634.0,Peaceful Piano,Cygne Noir
43,0.994,0.402,0.0185,0.937,-30.302,0.0393,67.394,0.237,2.0,151750.0,Peaceful Piano,Berceuse
44,0.989,0.377,0.0226,0.941,-22.748,0.0394,164.635,0.159,5.0,140602.0,Peaceful Piano,Peaceful Thoughts
45,0.995,0.375,0.0662,0.922,-26.344,0.0483,117.282,0.214,7.0,143920.0,Peaceful Piano,Benediction
46,0.995,0.663,0.0132,0.953,-33.243,0.046,120.107,0.327,10.0,221703.0,Peaceful Piano,fields of forever - sleep rework
47,0.994,0.396,0.0281,0.878,-30.963,0.0333,100.61,0.296,2.0,137647.0,Peaceful Piano,Twilights
48,0.994,0.309,0.0599,0.932,-29.964,0.0692,79.049,0.382,9.0,117893.0,Peaceful Piano,Omoidasu
49,0.989,0.39,0.0483,0.922,-33.732,0.0294,107.079,0.229,3.0,159125.0,Peaceful Piano,Winterfall
50,0.992,0.469,0.0029,0.939,-40.436,0.0525,116.219,0.509,8.0,143400.0,Peaceful Piano,Act Of Reconciling
51,0.995,0.355,0.011,0.92,-29.906,0.0438,65.235,0.124,2.0,120666.0,Peaceful Piano,inverno 1
52,0.973,0.352,0.0464,0.879,-27.631,0.0307,98.943,0.339,1.0,176557.0,Peaceful Piano,Sommarvals
53,0.992,0.412,0.0451,0.932,-30.732,0.0419,170.149,0.762,5.0,128932.0,Peaceful Piano,Take care
54,0.995,0.259,0.0424,0.892,-28.504,0.0406,205.672,0.3,7.0,137071.0,Peaceful Piano,Ved
55,0.991,0.445,0.0367,0.944,-31.319,0.0433,75.396,0.13,1.0,150833.0,Peaceful Piano,Koto - piano room
56,0.973,0.278,0.0839,0.916,-26.123,0.0368,133.389,0.361,3.0,182836.0,Peaceful Piano,Untold Stories
57,0.993,0.362,0.0317,0.964,-24.252,0.0496,81.007,0.329,2.0,159440.0,Peaceful Piano,Days Passing By
58,0.993,0.364,0.064,0.925,-24.643,0.0384,131.662,0.403,9.0,121750.0,Peaceful Piano,Together Again
59,0.967,0.289,0.034,0.884,-32.438,0.0346,122.271,0.141,3.0,154875.0,Peaceful Piano,Tomorrow
60,0.996,0.611,0.0126,0.94,-26.619,0.0671,68.395,0.263,7.0,127538.0,Peaceful Piano,If You Should Go
61,0.996,0.527,0.0338,0.969,-26.245,0.0832,67.807,0.179,7.0,165294.0,Peaceful Piano,Léopoldine
62,0.994,0.49,0.0207,0.924,-26.438,0.036,99.583,0.408,7.0,144125.0,Peaceful Piano,Periferi
63,0.988,0.328,0.00758,0.937,-26.281,0.039,92.095,0.151,10.0,174866.0,Peaceful Piano,for you
