,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo,valence,key,duration_ms,Classification,song_name
0,0.00306,0.623,0.755,0.0,-5.386,0.0415,119.957,0.32,7.0,212254.0,K-Pop ON! (온),Like Crazy (English Version)
1,0.0119,0.8,0.792,1.11e-06,-4.953,0.0529,102.0,0.455,11.0,195440.0,K-Pop ON! (온),Kitsch
2,0.652,0.77,0.661,0.0,-8.199,0.0336,120.053,0.943,2.0,174253.0,K-Pop ON! (온),Cupid
3,0.00805,0.803,0.805,0.0,-4.167,0.064,97.031,0.652,8.0,188719.0,K-Pop ON! (온),Love Me Like This
4,0.213,0.802,0.951,3.11e-06,-2.798,0.248,147.02,0.499,7.0,236867.0,K-Pop ON! (온),Grrr - Spotify Singles
5,0.0212,0.629,0.806,0.000487,-2.034,0.201,186.022,0.545,1.0,174507.0,K-Pop ON! (온),Rover
6,0.151,0.608,0.692,0.0,-3.182,0.0441,131.972,0.569,9.0,242200.0,K-Pop ON! (온),Smoke Sprite (feat. RM of BTS)
7,0.127,0.748,0.826,0.0,-2.489,0.207,113.139,0.731,5.0,181680.0,K-Pop ON! (온),SET ME FREE (ENG)
8,0.42,0.749,0.553,0.000198,-6.385,0.0374,96.044,0.641,10.0,172189.0,K-Pop ON! (온),love you twice
9,0.392,0.749,0.781,2.12e-06,-3.265,0.0578,125.09,0.606,1.0,180320.0,K-Pop ON! (온),MOONLIGHT SUNRISE
10,0.532,0.681,0.821,0.00111,-5.12,0.131,94.074,0.813,11.0,214701.0,K-Pop ON! (온),on the street (with J. Cole)
11,0.00788,0.712,0.893,0.0,-3.995,0.0851,125.022,0.828,10.0,186571.0,K-Pop ON! (온),Sugar Rush Ride
12,0.0204,0.644,0.945,0.000133,-2.436,0.123,149.986,0.759,9.0,196827.0,K-Pop ON! (온),PANDORA
13,0.0769,0.755,0.864,0.0,-4.767,0.303,153.148,0.255,11.0,152387.0,K-Pop ON! (온),WHIP! - Spotify Singles
14,0.357,0.804,0.771,3.07e-06,-4.067,0.0433,126.956,0.739,9.0,212253.0,K-Pop ON! (온),OMG
15,0.0133,0.741,0.915,0.0,-2.666,0.102,119.918,0.596,4.0,202053.0,K-Pop ON! (온),Groovy
16,0.021,0.73,0.836,0.0,-4.242,0.125,104.897,0.474,11.0,177053.0,K-Pop ON! (온),Hidden Side
17,0.484,0.635,0.455,6.95e-06,-5.433,0.0661,89.956,0.177,1.0,197227.0,K-Pop ON! (온),O (Circle)
18,0.374,0.7,0.908,0.0,-4.391,0.425,146.937,0.779,3.0,189133.0,K-Pop ON! (온),YG - Spotify Singles
19,0.103,0.707,0.86,0.0,-2.935,0.191,152.026,0.922,11.0,204467.0,K-Pop ON! (온),Fighting (Feat. Lee Young Ji)
20,0.027,0.814,0.641,0.0,-5.957,0.111,133.854,0.183,6.0,185507.0,K-Pop ON! (온),Ditto
21,0.0821,0.882,0.797,0.0,-3.299,0.0819,105.025,0.824,10.0,184444.0,K-Pop ON! (온),ANTIFRAGILE
22,0.105,0.757,0.91,0.0,-3.953,0.0524,119.04,0.686,7.0,189773.0,K-Pop ON! (온),Teddy Bear
23,0.268,0.593,0.935,0.0,-3.43,0.225,99.976,0.783,4.0,179027.0,K-Pop ON! (온),Hype Boy
24,0.0413,0.726,0.91,7.81e-06,-1.948,0.179,135.966,0.648,4.0,178453.0,K-Pop ON! (온),Nxde
25,0.0272,0.442,0.748,0.000128,-4.718,0.0895,99.981,0.408,11.0,165135.0,K-Pop ON! (온),BIBI Vengeance
26,0.043,0.558,0.858,0.0,-2.983,0.0821,150.014,0.379,4.0,220107.0,K-Pop ON! (온),ROAR
27,0.103,0.68,0.922,0.0,-1.215,0.121,125.014,0.799,0.0,176973.0,K-Pop ON! (온),After LIKE
28,0.0676,0.787,0.677,0.0,-5.304,0.0435,100.035,0.598,0.0,175776.0,K-Pop ON! (온),VIBE (feat. Jimin of BTS)
29,0.332,0.79,0.838,7.07e-06,-3.183,0.0501,98.966,0.738,7.0,182453.0,K-Pop ON! (온),Cheshire
30,0.00106,0.543,0.947,2.07e-06,-1.785,0.0861,172.941,0.555,2.0,230733.0,K-Pop ON! (온),Killer
31,0.0309,0.632,0.849,0.000142,-1.462,0.0408,142.959,0.393,5.0,232813.0,K-Pop ON! (온),Stamp On It
32,0.00269,0.813,0.657,0.0,-6.447,0.0372,110.053,0.651,0.0,175889.0,K-Pop ON! (온),Shut Down
33,0.236,0.811,0.648,0.0,-3.684,0.0368,104.988,0.695,10.0,180067.0,K-Pop ON! (온),Attention
34,0.0848,0.556,0.798,0.0,-3.331,0.254,131.096,0.628,7.0,165747.0,K-Pop ON! (온),DICE
