,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo,valence,key,duration_ms,Classification,song_name
0,0.461,0.662,0.649,0.0,-3.025,0.0368,82.512,0.701,5.0,225247.0,Are & Be,Cheatback
1,0.141,0.559,0.551,0.0,-7.231,0.132,143.008,0.392,5.0,201800.0,Are & Be,Snooze
2,0.83,0.373,0.506,3.24e-05,-7.35,0.0721,95.636,0.376,3.0,213333.0,Are & Be,calm & patient
3,0.136,0.521,0.565,1.65e-06,-9.596,0.0681,114.562,0.261,11.0,202756.0,Are & Be,I'm Baby (ft. Jvck James)
4,0.753,0.584,0.453,0.0,-6.682,0.0661,124.913,0.328,8.0,241624.0,Are & Be,ICU
5,0.65,0.726,0.353,0.002,-10.273,0.105,137.66,0.503,10.0,169014.0,Are & Be,JACKIE BROWN
6,0.665,0.726,0.308,0.151,-5.858,0.0389,91.999,0.279,0.0,154532.0,Are & Be,Valentina
7,0.207,0.803,0.387,1.98e-06,-5.839,0.0723,136.038,0.5,2.0,186157.0,Are & Be,Smoke (feat. Lucky Daye)
8,0.0267,0.684,0.607,0.000307,-8.127,0.1,81.001,0.498,11.0,195373.0,Are & Be,Sure Thing
9,0.434,0.66,0.688,0.0,-6.34,0.0564,118.05,0.65,7.0,249407.0,Are & Be,CUFF IT - WETTER REMIX
10,0.0656,0.878,0.577,0.0,-5.925,0.0541,99.031,0.498,2.0,159242.0,Are & Be,What You Wanna Try
11,0.221,0.483,0.492,0.0,-6.734,0.157,168.79,0.328,0.0,206429.0,Are & Be,This Is
12,0.406,0.698,0.846,0.0,-3.735,0.0981,103.968,0.726,8.0,205385.0,Are & Be,Fly Girl (feat. Missy Elliott)
13,0.0287,0.65,0.662,0.0,-7.555,0.0618,77.011,0.628,5.0,163701.0,Are & Be,Waste My Time
14,0.144,0.612,0.636,0.0,-5.328,0.0899,131.922,0.221,3.0,193782.0,Are & Be,So Be It (with Summer Walker) - Remix
15,0.208,0.575,0.738,0.0,-3.65,0.0712,82.609,0.391,8.0,166623.0,Are & Be,How Does It Feel
16,0.339,0.739,0.535,0.000219,-4.451,0.0424,133.009,0.195,6.0,178333.0,Are & Be,Temporary (feat. Don Toliver)
17,0.19,0.884,0.658,0.00164,-5.94,0.134,112.978,0.502,0.0,196495.0,Are & Be,Say You Want Me - Single Version
18,0.735,0.62,0.396,0.000985,-15.498,0.206,87.865,0.774,1.0,201027.0,Are & Be,Where I Go (feat. H.E.R.)
19,0.0498,0.914,0.643,0.0,-3.862,0.134,105.033,0.764,6.0,187907.0,Are & Be,2 Sugar (feat. Ayra Starr)
20,0.00348,0.789,0.614,0.00152,-6.491,0.0579,126.035,0.108,1.0,198898.0,Are & Be,AMERICA HAS A PROBLEM
21,0.232,0.531,0.525,0.0,-6.5,0.0671,66.9,0.502,1.0,232857.0,Are & Be,Die For You - Remix
22,0.0649,0.639,0.641,1.58e-05,-6.798,0.0344,111.017,0.419,8.0,265889.0,Are & Be,Deserve Me (with Summer Walker)
23,0.592,0.559,0.453,1.23e-05,-8.746,0.0684,123.906,0.622,10.0,184633.0,Are & Be,People (feat. Ayra Starr & Omah Lay)
24,0.389,0.702,0.472,0.0,-7.282,0.0967,122.083,0.39,5.0,281013.0,Are & Be,Tell Me It's Over (feat. Summer Walker & 6LACK)
25,0.661,0.524,0.578,5.96e-05,-4.8,0.08,69.695,0.399,6.0,220250.0,Are & Be,Demon Time (with Ari Lennox) - Remix
26,0.689,0.601,0.481,0.0033,-8.366,0.0634,152.994,0.484,7.0,216524.0,Are & Be,Let Me Go
27,0.4,0.507,0.538,1.9e-05,-7.454,0.0643,111.458,0.239,1.0,293571.0,Are & Be,Breaking Point
28,0.853,0.707,0.261,0.0,-10.139,0.0784,65.038,0.545,9.0,183893.0,Are & Be,Love Language
29,0.312,0.672,0.783,0.0399,-6.463,0.0852,85.526,0.66,5.0,206693.0,Are & Be,Stories In Motion (with Wale)
30,0.402,0.554,0.754,1.71e-06,-7.088,0.0797,146.076,0.728,1.0,230137.0,Are & Be,white rice déjà vu
31,0.143,0.467,0.624,0.000899,-8.511,0.0508,141.889,0.31,10.0,225947.0,Are & Be,I Wish you Roses
32,0.309,0.738,0.613,0.0,-6.81,0.0649,90.012,0.637,0.0,167592.0,Are & Be,Used To Me (feat. Ty Dolla $ign)
33,0.061,0.74,0.758,1.44e-06,-5.851,0.0921,171.925,0.757,1.0,189825.0,Are & Be,What It Is (Solo Version)
34,0.0159,0.775,0.538,5.1e-06,-6.501,0.0429,96.503,0.732,1.0,159396.0,Are & Be,Do You Mind
35,0.174,0.8,0.614,0.000176,-6.255,0.0668,135.018,0.548,7.0,230841.0,Are & Be,Queen Space (with Summer Walker)
36,0.0452,0.758,0.552,2.6e-06,-6.205,0.0346,98.976,0.489,7.0,262712.0,Are & Be,GLU
37,0.617,0.653,0.456,7.04e-05,-8.22,0.0331,103.078,0.36,3.0,173840.0,Are & Be,Shadows (with Kehlani)
38,0.473,0.731,0.423,0.000413,-10.147,0.0784,76.964,0.78,6.0,90111.0,Are & Be,We Might Even Be Falling In Love (Duet) - Spotify Singles
39,0.14,0.735,0.48,0.0,-8.754,0.278,133.075,0.363,1.0,187776.0,Are & Be,Save Your Soul
40,0.0635,0.695,0.526,0.0,-7.486,0.043,121.939,0.534,8.0,283314.0,Are & Be,Until The End Of Time - Spotify Singles
41,0.42,0.836,0.411,0.382,-9.084,0.0325,90.876,0.845,6.0,297717.0,Are & Be,Fight for Love
42,0.0495,0.805,0.616,0.0,-4.866,0.313,84.978,0.764,1.0,195579.0,Are & Be,Curious (feat. Fabolous)
43,0.116,0.731,0.493,8.32e-06,-4.96,0.0581,127.03,0.852,6.0,201622.0,Are & Be,Feature Me
44,0.228,0.848,0.512,0.00232,-7.72,0.102,120.009,0.572,3.0,181840.0,Are & Be,Shirt
45,0.367,0.363,0.498,0.00213,-11.249,0.155,75.885,0.251,9.0,265723.0,Are & Be,Enough for Love
46,0.594,0.557,0.455,0.0,-6.469,0.0444,123.842,0.584,10.0,178720.0,Are & Be,Like Her Too
47,0.543,0.815,0.606,2.03e-05,-4.496,0.0586,114.009,0.484,2.0,223160.0,Are & Be,FOREVER (with 6LACK)
48,0.0553,0.621,0.411,0.0,-8.261,0.0333,110.113,0.357,6.0,202520.0,Are & Be,Spread Thin
49,0.948,0.395,0.241,0.000418,-11.555,0.045,77.873,0.248,3.0,116129.0,Are & Be,Mad Riches
50,0.913,0.367,0.142,0.00367,-12.717,0.0319,69.827,0.1,6.0,189463.0,Are & Be,DO 4 LOVE
51,0.00864,0.583,0.829,0.0,-4.603,0.134,174.028,0.575,1.0,275987.0,I Love My '00s R&B,Umbrella
52,0.354,0.626,0.357,0.0,-7.166,0.0631,179.869,0.401,2.0,238867.0,I Love My '00s R&B,It's A Wrap
53,0.603,0.609,0.444,6.86e-06,-9.129,0.106,118.402,0.166,7.0,228707.0,I Love My '00s R&B,If I Ain't Got You
54,0.064,0.688,0.519,0.0,-4.285,0.0283,116.714,0.318,5.0,255333.0,I Love My '00s R&B,Love
55,0.247,0.476,0.407,0.0,-9.239,0.0368,178.258,0.226,4.0,242467.0,I Love My '00s R&B,Officially Missing You
56,0.538,0.683,0.664,0.0,-4.233,0.0332,106.991,0.866,5.0,266307.0,I Love My '00s R&B,Bust Your Windows
57,0.178,0.686,0.588,0.0,-8.343,0.0554,94.519,0.617,7.0,249120.0,I Love My '00s R&B,Let Me Love You
58,0.057,0.589,0.655,0.000353,-8.138,0.0488,105.272,0.675,8.0,220640.0,I Love My '00s R&B,Long Way 2 Go
59,0.107,0.387,0.64,0.0,-5.817,0.081,59.989,0.617,11.0,245933.0,I Love My '00s R&B,Take You Down
60,0.0264,0.84,0.476,0.0,-7.918,0.0629,139.987,0.767,0.0,201400.0,I Love My '00s R&B,We Belong Together
61,0.0448,0.707,0.724,0.0,-3.887,0.051,108.984,0.659,11.0,250107.0,I Love My '00s R&B,Spotlight
62,0.00193,0.676,0.73,0.0,-5.963,0.267,178.117,0.489,1.0,215853.0,I Love My '00s R&B,Like This (feat. Eve)
