,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo,valence,key,duration_ms
0,0.0521,0.644,0.735,0.144,-5.747,0.0391,88.98,0.418,8.0,153947.0
1,0.252,0.696,0.809,0.000128,-8.254,0.05,132.962,0.857,5.0,131013.0
2,0.302,0.777,0.526,0.0,-6.221,0.0645,107.071,0.389,2.0,194849.0
3,0.0632,0.707,0.681,5.15e-06,-4.325,0.0668,117.999,0.646,0.0,200455.0
4,0.232,0.531,0.525,0.0,-6.5,0.0671,66.9,0.502,1.0,232857.0
5,0.03,0.954,0.516,7.54e-06,-5.817,0.16,105.001,0.624,6.0,139560.0
6,0.417,0.715,0.62,0.0,-6.005,0.0484,97.95,0.172,1.0,221520.0
7,0.138,0.538,0.742,4.67e-05,-5.355,0.114,96.107,0.25,2.0,272373.0
8,0.736,0.768,0.644,0.000837,-6.671,0.136,95.05,0.53,5.0,194543.0
9,0.382,0.801,0.806,0.000669,-5.206,0.0381,106.999,0.802,11.0,239318.0
10,0.342,0.52,0.731,0.00101,-5.338,0.0557,173.93,0.662,6.0,167303.0
11,0.473,0.516,0.322,0.00194,-11.762,0.0292,148.005,0.261,9.0,182888.0
12,0.274,0.778,0.632,0.0,-5.6,0.0493,122.104,0.498,2.0,218289.0
13,0.13,0.637,0.643,1.8e-06,-6.571,0.0519,97.008,0.533,4.0,200690.0
14,0.0378,0.636,0.869,0.0446,-5.289,0.0412,143.011,0.306,9.0,186496.0
15,0.653,0.515,0.593,0.162,-4.801,0.0322,94.467,0.153,4.0,209260.0
16,0.551,0.573,0.422,1.31e-05,-7.621,0.0678,124.357,0.693,10.0,184791.0
17,0.673,0.72,0.63,0.0,-3.547,0.277,179.974,0.607,4.0,199440.0
18,0.013,0.714,0.472,4.51e-06,-7.375,0.0864,131.121,0.238,2.0,156943.0
19,0.0368,0.78,0.689,9.69e-06,-5.668,0.141,115.042,0.642,7.0,225389.0
20,0.141,0.559,0.551,0.0,-7.231,0.132,143.008,0.392,5.0,201800.0
21,0.382,0.551,0.587,0.128,-6.857,0.0291,89.985,0.365,5.0,242293.0
22,0.000525,0.613,0.803,0.000333,-5.171,0.0367,127.989,0.461,9.0,162973.0
23,0.0652,0.486,0.545,0.00474,-7.924,0.0336,150.187,0.0385,11.0,123891.0
24,0.00383,0.561,0.965,7.07e-06,-3.673,0.0343,128.04,0.304,7.0,175238.0
25,0.534,0.574,0.469,9.21e-05,-8.209,0.0254,132.023,0.288,4.0,242485.0
26,0.0683,0.696,0.793,3.78e-06,-5.733,0.097,120.003,0.698,8.0,172253.0
27,0.696,0.768,0.74,6.81e-06,-6.595,0.336,141.059,0.532,0.0,129362.0
28,0.357,0.804,0.771,3.07e-06,-4.067,0.0433,126.956,0.739,9.0,212253.0
29,0.777,0.551,0.55,0.0,-5.339,0.0286,101.19,0.342,10.0,176440.0
30,0.0826,0.704,0.797,0.000745,-5.927,0.0475,139.994,0.825,0.0,148486.0
31,0.716,0.662,0.398,0.0,-6.691,0.0275,107.001,0.468,11.0,145850.0
32,0.859,0.735,0.449,0.0,-9.933,0.383,146.016,0.514,2.0,175890.0
33,0.621,0.898,0.732,1.29e-05,-3.982,0.0427,115.955,0.96,7.0,142759.0
34,0.428,0.782,0.587,1.85e-06,-8.3,0.0324,120.041,0.76,11.0,174253.0
35,0.345,0.838,0.525,1.92e-06,-3.562,0.0665,144.981,0.884,10.0,134256.0
36,0.459,0.517,0.675,0.0,-5.382,0.0357,203.853,0.518,6.0,163855.0
37,0.298,0.714,0.728,0.0,-4.595,0.0468,114.996,0.901,10.0,177955.0
38,0.121,0.733,0.67,0.0,-6.009,0.0751,100.964,0.472,5.0,192841.0
39,0.0206,0.773,0.742,0.0,-3.678,0.046,114.071,0.571,5.0,165265.0
40,0.0708,0.571,0.761,0.0,-3.485,0.0261,91.991,0.681,5.0,186043.0
41,0.258,0.733,0.436,0.000573,-10.489,0.08,96.985,0.0976,10.0,202396.0
42,0.511,0.639,0.723,0.0,-6.462,0.0532,136.872,0.878,7.0,187558.0
43,0.626,0.686,0.507,7.51e-05,-7.097,0.0357,168.955,0.69,1.0,232115.0
44,0.0105,0.734,0.777,0.0,-4.706,0.0318,138.98,0.487,8.0,175649.0
45,0.0313,0.775,0.677,0.00517,-4.703,0.0442,124.011,0.698,8.0,189357.0
46,0.555,0.369,0.192,8.35e-06,-12.151,0.04,175.212,0.148,4.0,228013.0
47,0.0492,0.783,0.729,0.000272,-3.549,0.0691,167.968,0.58,6.0,216148.0
48,0.0503,0.561,0.52,1.86e-06,-9.342,0.244,153.15,0.424,11.0,239360.0
49,0.583,0.835,0.679,1.98e-06,-5.329,0.0364,124.98,0.85,7.0,162638.0
50,0.382,0.801,0.806,0.000669,-5.206,0.0381,106.999,0.802,11.0,239318.0
51,0.252,0.696,0.809,0.000128,-8.254,0.05,132.962,0.857,5.0,131013.0
52,0.302,0.777,0.526,0.0,-6.221,0.0645,107.071,0.389,2.0,194849.0
53,0.0632,0.707,0.681,5.15e-06,-4.325,0.0668,117.999,0.646,0.0,200455.0
54,0.417,0.715,0.62,0.0,-6.005,0.0484,97.95,0.172,1.0,221520.0
55,0.459,0.517,0.675,0.0,-5.382,0.0357,203.853,0.518,6.0,163855.0
56,0.03,0.954,0.516,7.54e-06,-5.817,0.16,105.001,0.624,6.0,139560.0
57,0.0267,0.684,0.607,0.000307,-8.127,0.1,81.001,0.498,11.0,195373.0
58,0.232,0.531,0.525,0.0,-6.5,0.0671,66.9,0.502,1.0,232857.0
59,0.13,0.637,0.643,1.8e-06,-6.571,0.0519,97.008,0.533,4.0,200690.0
60,0.0521,0.644,0.735,0.144,-5.747,0.0391,88.98,0.418,8.0,153947.0
61,0.382,0.551,0.587,0.128,-6.857,0.0291,89.985,0.365,5.0,242293.0
62,0.626,0.686,0.507,7.51e-05,-7.097,0.0357,168.955,0.69,1.0,232115.0
63,0.777,0.551,0.55,0.0,-5.339,0.0286,101.19,0.342,10.0,176440.0
64,0.473,0.516,0.322,0.00194,-11.762,0.0292,148.005,0.261,9.0,182888.0
65,0.0268,0.74,0.697,0.0,-4.912,0.034,138.992,0.732,8.0,163648.0
66,0.707,0.718,0.467,6.92e-05,-9.66,0.0398,95.96,0.396,2.0,221407.0
67,0.0708,0.571,0.761,0.0,-3.485,0.0261,91.991,0.681,5.0,186043.0
68,0.342,0.52,0.731,0.00101,-5.338,0.0557,173.93,0.662,6.0,167303.0
69,0.518,0.642,0.706,0.0,-6.872,0.052,136.851,0.896,7.0,187723.0
70,0.0652,0.486,0.545,0.00474,-7.924,0.0336,150.187,0.0385,11.0,123891.0
71,0.138,0.538,0.742,4.67e-05,-5.355,0.114,96.107,0.25,2.0,272373.0
72,0.18,0.571,0.549,0.0,-7.38,0.404,119.497,0.447,1.0,194787.0
73,0.115,0.696,0.733,0.0,-6.181,0.256,98.355,0.292,1.0,214445.0
74,0.314,0.816,0.367,0.0,-9.354,0.0588,116.035,0.413,2.0,208630.0
75,0.534,0.574,0.469,9.21e-05,-8.209,0.0254,132.023,0.288,4.0,242485.0
76,0.124,0.751,0.661,0.0,-6.131,0.0871,120.052,0.761,9.0,147481.0
77,0.673,0.72,0.63,0.0,-3.547,0.277,179.974,0.607,4.0,199440.0
78,0.0826,0.704,0.797,0.000745,-5.927,0.0475,139.994,0.825,0.0,148486.0
79,0.696,0.768,0.74,6.81e-06,-6.595,0.336,141.059,0.532,0.0,129362.0
80,0.013,0.714,0.472,4.51e-06,-7.375,0.0864,131.121,0.238,2.0,156943.0
81,0.000525,0.613,0.803,0.000333,-5.171,0.0367,127.989,0.461,9.0,162973.0
82,0.653,0.515,0.593,0.162,-4.801,0.0322,94.467,0.153,4.0,209260.0
83,0.0846,0.843,0.669,1.28e-05,-4.105,0.0639,136.979,0.435,1.0,238253.0
84,0.0503,0.561,0.52,1.86e-06,-9.342,0.244,153.15,0.424,11.0,239360.0
85,0.258,0.733,0.436,0.000573,-10.489,0.08,96.985,0.0976,10.0,202396.0
86,0.492,0.656,0.757,0.0,-5.775,0.0308,139.971,0.429,3.0,177388.0
87,0.555,0.369,0.192,8.35e-06,-12.151,0.04,175.212,0.148,4.0,228013.0
88,0.141,0.559,0.551,0.0,-7.231,0.132,143.008,0.392,5.0,201800.0
89,0.0554,0.423,0.58,2.92e-06,-4.959,0.0243,82.755,0.336,1.0,211053.0
90,0.0368,0.78,0.689,9.69e-06,-5.668,0.141,115.042,0.642,7.0,225389.0
91,0.0492,0.783,0.729,0.000272,-3.549,0.0691,167.968,0.58,6.0,216148.0
92,0.453,0.571,0.544,0.00805,-10.613,0.0299,132.052,0.216,6.0,132631.0
93,0.274,0.778,0.632,0.0,-5.6,0.0493,122.104,0.498,2.0,218289.0
94,0.121,0.733,0.67,0.0,-6.009,0.0751,100.964,0.472,5.0,192841.0
95,0.305,0.956,0.515,0.0,-9.962,0.337,119.937,0.69,11.0,122070.0
96,0.716,0.662,0.398,0.0,-6.691,0.0275,107.001,0.468,11.0,145850.0
97,0.0103,0.686,0.897,0.103,-7.18,0.0386,129.975,0.355,11.0,163139.0
98,0.00383,0.561,0.965,7.07e-06,-3.673,0.0343,128.04,0.304,7.0,175238.0
99,0.583,0.835,0.679,1.98e-06,-5.329,0.0364,124.98,0.85,7.0,162638.0
100,0.707,0.718,0.467,6.92e-05,-9.66,0.0398,95.96,0.396,2.0,221407.0
101,0.302,0.777,0.526,0.0,-6.221,0.0645,107.071,0.389,2.0,194849.0
102,0.382,0.551,0.587,0.128,-6.857,0.0291,89.985,0.365,5.0,242293.0
103,0.355,0.694,0.743,0.0,-4.267,0.0833,145.048,0.554,7.0,215021.0
104,0.153,0.767,0.721,1.52e-06,-5.586,0.0456,150.065,0.884,1.0,208066.0
105,0.124,0.751,0.661,0.0,-6.131,0.0871,120.052,0.761,9.0,147481.0
106,0.0893,0.787,0.686,0.0,-4.37,0.0339,123.51,0.836,6.0,185553.0
107,0.652,0.494,0.348,1.07e-05,-9.791,0.03,104.923,0.134,9.0,184963.0
108,0.011,0.578,0.867,0.0,-4.317,0.0569,143.912,0.548,4.0,177253.0
109,0.0574,0.539,0.503,2.34e-05,-5.338,0.0385,174.068,0.836,2.0,223787.0
110,0.0129,0.586,0.891,0.0,-4.949,0.0456,156.036,0.759,4.0,176989.0
111,0.825,0.602,0.493,0.0,-5.695,0.0443,128.577,0.281,5.0,172326.0
112,0.00162,0.636,0.888,0.000216,-3.889,0.0945,122.032,0.25,8.0,237200.0
113,0.0378,0.636,0.869,0.0446,-5.289,0.0412,143.011,0.306,9.0,186496.0
114,0.232,0.531,0.525,0.0,-6.5,0.0671,66.9,0.502,1.0,232857.0
115,0.102,0.392,0.541,1.02e-05,-8.68,0.0641,181.866,0.447,1.0,306656.0
116,0.0331,0.538,0.826,0.0,-2.945,0.255,170.066,0.62,2.0,169839.0
117,0.0708,0.571,0.761,0.0,-3.485,0.0261,91.991,0.681,5.0,186043.0
118,0.428,0.782,0.587,1.85e-06,-8.3,0.0324,120.041,0.76,11.0,174253.0
119,0.00306,0.623,0.755,0.0,-5.386,0.0415,119.957,0.32,7.0,212254.0
120,0.0323,0.503,0.671,0.0,-6.381,0.0419,74.028,0.295,6.0,147568.0
121,0.321,0.565,0.697,0.0,-4.901,0.0316,99.934,0.343,9.0,177600.0
122,0.621,0.898,0.732,1.29e-05,-3.982,0.0427,115.955,0.96,7.0,142759.0
123,0.0158,0.792,0.874,0.000365,-2.966,0.0852,113.969,0.934,1.0,186762.0
124,0.0756,0.704,0.535,0.000264,-5.751,0.0405,94.018,0.463,1.0,201373.0
125,0.0104,0.603,0.816,5.7e-05,-3.549,0.0335,149.934,0.401,1.0,188562.0
126,0.072,0.691,0.906,0.0,-4.459,0.169,119.985,0.653,0.0,183926.0
127,0.00686,0.584,0.915,0.000155,-3.199,0.11,181.882,0.57,6.0,196940.0
128,0.000525,0.613,0.803,0.000333,-5.171,0.0367,127.989,0.461,9.0,162973.0
129,0.314,0.816,0.367,0.0,-9.354,0.0588,116.035,0.413,2.0,208630.0
130,0.356,0.684,0.441,0.0,-3.9,0.0273,102.885,0.416,0.0,226440.0
131,0.77,0.62,0.409,0.0542,-10.146,0.0282,113.946,0.582,1.0,135067.0
132,0.537,0.653,0.575,7.9e-05,-8.95,0.0594,119.888,0.409,5.0,245629.0
133,0.00676,0.552,0.945,0.000174,-3.771,0.0561,130.011,0.384,8.0,164541.0
134,0.262,0.698,0.581,0.0,-4.33,0.155,139.89,0.865,1.0,119571.0
135,0.021,0.841,0.65,4.15e-06,-5.627,0.131,129.979,0.748,8.0,141972.0
136,0.252,0.696,0.809,0.000128,-8.254,0.05,132.962,0.857,5.0,131013.0
137,0.518,0.642,0.706,0.0,-6.872,0.052,136.851,0.896,7.0,187723.0
138,0.204,0.398,0.705,5.13e-05,-7.07,0.0756,111.487,0.635,5.0,145668.0
139,0.0662,0.595,0.823,0.0,-6.448,0.0566,155.005,0.435,7.0,170388.0
140,0.312,0.416,0.762,0.804,-7.385,0.0279,95.967,0.461,2.0,326491.0
141,0.000982,0.622,0.715,0.0,-4.04,0.0323,131.012,0.607,6.0,164682.0
142,0.396,0.546,0.787,0.0,-4.023,0.212,100.559,0.497,0.0,264473.0
143,0.00925,0.701,0.786,1.43e-05,-4.869,0.0353,122.007,0.947,1.0,163933.0
144,0.127,0.748,0.826,0.0,-2.489,0.207,113.139,0.731,5.0,181680.0
145,0.728,0.496,0.345,0.0,-7.893,0.15,180.719,0.151,9.0,161470.0
146,0.473,0.516,0.322,0.00194,-11.762,0.0292,148.005,0.261,9.0,182888.0
147,0.0683,0.643,0.807,0.0,-4.9,0.0584,124.593,0.153,4.0,163049.0
148,0.0229,0.625,0.712,0.0,-5.996,0.0539,163.015,0.398,2.0,203557.0
149,0.243,0.545,0.779,1.66e-06,-6.235,0.0751,150.002,0.303,3.0,183375.0
150,0.0632,0.707,0.681,5.15e-06,-4.325,0.0668,117.999,0.646,0.0,200455.0
151,0.0841,0.623,0.641,1.09e-06,-3.987,0.0462,185.888,0.735,10.0,140710.0
152,0.654,0.37,0.299,0.000762,-10.836,0.0457,173.467,0.0726,0.0,170809.0
153,0.127,0.371,0.714,0.0,-5.455,0.145,181.367,0.325,5.0,118994.0
154,0.0188,0.464,0.724,0.0,-5.019,0.0705,82.526,0.303,7.0,174749.0
155,0.00887,0.681,0.626,5.56e-06,-5.41,0.0365,128.036,0.676,0.0,182085.0
156,0.296,0.544,0.692,0.0,-3.207,0.155,193.954,0.618,0.0,132794.0
157,0.00573,0.715,0.931,0.00185,-3.548,0.0426,119.971,0.615,11.0,181648.0
158,0.00839,0.727,0.695,0.0,-6.19,0.0518,127.995,0.811,7.0,193382.0
159,0.0846,0.843,0.669,1.28e-05,-4.105,0.0639,136.979,0.435,1.0,238253.0
160,0.0369,0.792,0.503,0.00057,-8.044,0.0626,99.97,0.381,1.0,185093.0
161,0.716,0.662,0.398,0.0,-6.691,0.0275,107.001,0.468,11.0,145850.0
162,0.017,0.47,0.452,3.5e-05,-7.196,0.0354,144.362,0.232,2.0,208283.0
163,0.172,0.698,0.895,1.45e-05,-4.439,0.0628,114.914,0.838,0.0,229605.0
164,0.33,0.814,0.722,0.0,-5.487,0.0454,142.959,0.47,1.0,150604.0
165,0.158,0.692,0.758,0.0,-3.453,0.0522,94.058,0.701,3.0,146654.0
166,0.879,0.577,0.366,7.76e-05,-11.792,0.0368,129.923,0.0841,8.0,212785.0
167,0.138,0.538,0.742,4.67e-05,-5.355,0.114,96.107,0.25,2.0,272373.0
168,0.0693,0.404,0.576,3.8e-06,-5.803,0.244,145.934,0.489,5.0,171602.0
169,0.0817,0.469,0.568,0.0,-7.084,0.0305,109.172,0.193,3.0,177880.0
170,0.858,0.568,0.289,0.0,-8.973,0.0395,140.122,0.338,11.0,162390.0
171,0.203,0.467,0.573,1.09e-06,-5.009,0.23,88.675,0.56,5.0,141061.0
172,0.425,0.698,0.546,0.00314,-7.234,0.0559,145.044,0.335,0.0,181080.0
173,0.813,0.548,0.456,0.00464,-5.979,0.0703,173.839,0.53,9.0,209188.0
174,0.258,0.733,0.436,0.000573,-10.489,0.08,96.985,0.0976,10.0,202396.0
175,0.451,0.611,0.686,0.0287,-10.693,0.0456,151.028,0.644,10.0,243600.0
176,0.404,0.518,0.49,0.0377,-7.437,0.0281,79.992,0.248,8.0,210203.0
177,0.143,0.698,0.781,0.0,-5.615,0.0401,124.017,0.851,8.0,166573.0
178,0.00164,0.706,0.821,0.0,-2.974,0.0617,139.914,0.918,9.0,168280.0
179,0.234,0.679,0.548,0.0,-7.495,0.0298,115.954,0.413,0.0,155909.0
180,0.566,0.6,0.389,0.0,-5.727,0.0337,143.577,0.244,9.0,147597.0
181,0.0216,0.729,0.622,0.0,-6.931,0.087,88.966,0.588,6.0,175760.0
182,0.69,0.643,0.363,5.17e-05,-11.738,0.0767,139.865,0.23,0.0,174783.0
183,0.782,0.662,0.488,0.0,-6.894,0.0682,117.913,0.817,9.0,182347.0
184,0.863,0.306,0.121,0.0,-17.118,0.0396,159.08,0.238,1.0,138375.0
185,0.302,0.777,0.526,0.0,-6.221,0.0645,107.071,0.389,2.0,194849.0
186,0.871,0.343,0.142,0.0103,-16.432,0.0395,116.295,0.0799,11.0,314520.0
187,0.736,0.768,0.644,0.000837,-6.671,0.136,95.05,0.53,5.0,194543.0
188,0.339,0.739,0.535,0.000219,-4.451,0.0424,133.009,0.195,6.0,178333.0
